title,url,city,location,property_type,latitude,longitude,price,rating,reviews,guests,studio,bedrooms,beds,baths,shared_bath,kitchen,wifi,washer,tv,parking,refrigerator
Micro apartment just 3mins walk from train station,https://www.airbnb.com/rooms/43450797?adults=1&children=0&infants=0&check_in=2021-07-04&check_out=2021-07-11&previous_page_section_name=1000&federated_search_id=9c0100e2-714c-4cd1-8f43-d38c8d19f526,Stavanger,Storhaug,Entire loft,58.96557,5.73635,35,4.80,41,2,0,1,0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sentral  luksusleilighet i sandnes til grei pris,https://www.airbnb.com/rooms/45220129?adults=1&children=0&infants=0&check_in=2021-08-13&check_out=2021-08-18&previous_page_section_name=1000&federated_search_id=9c0100e2-714c-4cd1-8f43-d38c8d19f526,Stavanger,Sandnes,Entire condominium,58.83375,5.73619,124,4.86,7,4,0,2,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ANOTHER PLACE - ANOTHER HOST :-),https://www.airbnb.com/rooms/19097574?adults=1&children=0&infants=0&check_in=2021-08-07&check_out=2021-08-13&previous_page_section_name=1000&federated_search_id=9c0100e2-714c-4cd1-8f43-d38c8d19f526,Stavanger,Stavanger,Entire condominium,58.9657,5.70576,87,5.0,13,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Koselig leilighet til leie i stavanger sentrum,https://www.airbnb.com/rooms/28808667?adults=1&children=0&infants=0&check_in=2021-07-22&check_out=2021-07-27&previous_page_section_name=1000&federated_search_id=9c0100e2-714c-4cd1-8f43-d38c8d19f526,Stavanger,Stavanger,Entire apartment,58.97323,5.73027,87,4.84,44,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
"Våland, nær Stavanger sentrum",https://www.airbnb.com/rooms/28219808?adults=1&children=0&infants=0&check_in=2021-08-03&check_out=2021-08-10&previous_page_section_name=1000&federated_search_id=9c0100e2-714c-4cd1-8f43-d38c8d19f526,Stavanger,Stavanger,Entire apartment,58.96118,5.72783,47,4.87,92,2,0,1,1,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0
♡ Large apartment with sunny balcony ♡,https://www.airbnb.com/rooms/24213870?adults=1&children=0&infants=0&check_in=2021-07-17&check_out=2021-07-23&previous_page_section_name=1000&federated_search_id=9c0100e2-714c-4cd1-8f43-d38c8d19f526,Stavanger,Stavanger,Entire apartment,58.96273,5.73596,155,4.88,41,7,0,2,5,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Leilighet med 4 soveplasser sentralt i Sandnes,https://www.airbnb.com/rooms/46715670?adults=1&children=0&infants=0&check_in=2021-06-08&check_out=2021-06-14&previous_page_section_name=1000&federated_search_id=9c0100e2-714c-4cd1-8f43-d38c8d19f526,Stavanger,Sandnes,Entire apartment,58.86464,5.72986,118,,,4,0,2,2,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Privat rom i Stavanger sentrum 2,https://www.airbnb.com/rooms/17291629?adults=1&children=0&infants=0&check_in=2021-07-30&check_out=2021-08-05&previous_page_section_name=1000&federated_search_id=9c0100e2-714c-4cd1-8f43-d38c8d19f526,Stavanger,Stavanger,Private room,58.9693,5.7382,46,4.84,161,2,0,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Pepsitoppen,https://www.airbnb.com/rooms/18815559?adults=1&children=0&infants=0&check_in=2021-08-20&check_out=2021-08-27&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Strand,Entire house,59.03575,5.94833,308,5.0,3,10,0,5,6,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Kosekroken Randaberg Sentrum,https://www.airbnb.com/rooms/42428934?adults=1&children=0&infants=0&check_in=2021-06-17&check_out=2021-06-23&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Randaberg,Entire condominium,58.99759,5.61358,83,4.89,37,4,0,2,3,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
