title,url,city,location,property_type,latitude,longitude,price,rating,reviews,guests,studio,bedrooms,beds,baths,shared_bath,kitchen,wifi,washer,tv,parking,refrigerator
Summer appartement Oslos best part,https://www.airbnb.com/rooms/1210911?adults=1&children=0&infants=0&check_in=2021-07-23&check_out=2021-07-28&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Grünerløkka,Private room,59.92572,10.76314,25,4.55,225,2,0,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sentral in Oslo,https://www.airbnb.com/rooms/49272215?adults=1&children=0&infants=0&check_in=2021-07-07&check_out=2021-07-14&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Grünerløkka,Entire apartment,59.91964,10.77305,47,,,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
"Central, modern and cozy studio",https://www.airbnb.com/rooms/19384771?adults=1&children=0&infants=0&check_in=2021-06-08&check_out=2021-06-14&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Grünerløkka,Entire apartment,59.9163,10.7547,68,4.67,275,2,1,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Spacious apartment with supreme location!,https://www.airbnb.com/rooms/49251357?adults=1&children=0&infants=0&check_in=2021-08-08&check_out=2021-08-15&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Majorstuen,Entire apartment,59.9312,10.7185,103,,,5,0,3,4,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Loft at St.Hanshaugen,https://www.airbnb.com/rooms/49092727?adults=1&children=0&infants=0&check_in=2021-08-19&check_out=2021-08-26&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,St. Hanshaugen,Entire condominium,59.92181,10.73996,79,,,4,0,2,2,1.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0
Sentral toppleilighet med solrik balkong,https://www.airbnb.com/rooms/45821759?adults=1&children=0&infants=0&check_in=2021-07-07&check_out=2021-07-13&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,St. Hanshaugen,Entire condominium,59.93104,10.72411,101,5.0,6,4,1,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Rom i sentrum med flott utsikt  (balkong),https://www.airbnb.com/rooms/34245713?adults=1&children=0&infants=0&check_in=2021-06-07&check_out=2021-06-12&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,St. Hanshaugen,Private room,59.92492,10.74737,43,5.0,7,2,0,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Nice apartment with roof terrace in city center,https://www.airbnb.com/rooms/35497501?adults=1&children=0&infants=0&check_in=2021-06-14&check_out=2021-06-19&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Grünerløkka,Entire apartment,59.92104,10.75186,89,4.92,13,2,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
"Super central, nice and cozy apartment",https://www.airbnb.com/rooms/45704899?adults=1&children=0&infants=0&check_in=2021-07-07&check_out=2021-07-14&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Frogner,Entire apartment,59.91546,10.7213,90,4.88,24,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Koselig leilighet over 2 etasjer med hems.,https://www.airbnb.com/rooms/49050152?adults=1&children=0&infants=0&check_in=2021-08-24&check_out=2021-08-30&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Nordstrand,Entire apartment,59.90234,10.77358,85,,,3,0,1,2,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0
central and nice room.Great location,https://www.airbnb.com/rooms/12651632?adults=1&children=0&infants=0&check_in=2021-07-03&check_out=2021-07-08&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Majorstuen,Private room,59.9311,10.7156,41,4.95,243,2,0,1,1,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Urban Apartments St Hanshaugen Studio 206,https://www.airbnb.com/rooms/47022149?adults=1&children=0&infants=0&check_in=2021-08-06&check_out=2021-08-12&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,St. Hanshaugen,Entire apartment,59.91943,10.74335,55,,,1,1,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0
"In the heart of Oslo. Brand new, cozy, central",https://www.airbnb.com/rooms/22331999?adults=1&children=0&infants=0&check_in=2021-06-01&check_out=2021-06-07&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Grünerløkka,Entire condominium,59.9254,10.7622,69,4.78,100,3,1,1,1,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Usjenert toppleilighet på Trosterud nær Østmarka,https://www.airbnb.com/rooms/48367821?adults=1&children=0&infants=0&check_in=2021-08-09&check_out=2021-08-16&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Alna,Entire condominium,59.92481,10.86942,36,,,3,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Majorstuen new renovated apartment,https://www.airbnb.com/rooms/3352265?adults=1&children=0&infants=0&check_in=2021-07-14&check_out=2021-07-20&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Majorstuen,Entire apartment,59.92893,10.71945,63,4.75,24,2,1,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
All to yourself. 1 bdrm modern apt. for 1 person.,https://www.airbnb.com/rooms/11501450?adults=1&children=0&infants=0&check_in=2021-08-30&check_out=2021-09-04&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Nordre Aker,Entire apartment,59.9482,10.7485,64,4.91,223,1,0,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Loftshybel på Grefsen/Kjelsås i Oslo,https://www.airbnb.com/rooms/42109351?adults=1&children=0&infants=0&check_in=2021-08-17&check_out=2021-08-24&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Grefsen,Entire loft,59.958,10.7854,64,5.0,11,4,0,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Urban Apartments St Hanshaugen Studio 205,https://www.airbnb.com/rooms/47021327?adults=1&children=0&infants=0&check_in=2021-08-27&check_out=2021-09-02&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,St. Hanshaugen,Entire apartment,59.91854,10.74116,55,4.25,4,1,1,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
"Cozy place, close to the castle and city center!",https://www.airbnb.com/rooms/38409512?adults=1&children=0&infants=0&check_in=2021-07-16&check_out=2021-07-21&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Majorstuen,Private room,59.92146,10.72618,67,4.96,85,3,0,1,1,1.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0
"Large chained house, where the countryside begins",https://www.airbnb.com/rooms/32121183?adults=1&children=0&infants=0&check_in=2021-07-20&check_out=2021-07-27&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Grefsen,Entire townhouse,59.9668,10.77709,116,4.83,7,8,0,3,4,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
"Large chained house, where the countryside begins",https://www.airbnb.com/rooms/32121183?adults=1&children=0&infants=0&check_in=2021-07-20&check_out=2021-07-27&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Grefsen,Entire townhouse,59.9668,10.77709,96,4.83,7,8,0,3,4,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Cosy room centrally located on Nesoddtangen,https://www.airbnb.com/rooms/23825236?adults=1&children=0&infants=0&check_in=2021-08-28&check_out=2021-09-04&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Nesodden,Entire guest suite,59.86251,10.66104,30,4.70,81,2,0,1,1,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Baltazar Apartments Tjuvholmen - Rom uten kjøkken,https://www.airbnb.com/rooms/49454622?adults=1&children=0&infants=0&check_in=2021-07-26&check_out=2021-08-02&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Sentrum,Hotel room,59.910467,10.721095,62,,,2,1,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Modern Apart.with Balcony/Terrace Amazing View,https://www.airbnb.com/rooms/26457086?adults=1&children=0&infants=0&check_in=2021-06-01&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Grünerløkka,Entire apartment,59.9181,10.7617,141,4.61,33,6,0,2,3,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Modern and refurbished apt in quiet but central st,https://www.airbnb.com/rooms/47407920?adults=1&children=0&infants=0&check_in=2021-06-14&check_out=2021-06-21&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Frogner,Entire apartment,59.91158,10.72049,72,4.50,4,2,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
OSLO – BARCODE – VERY CENTRAL APARTMENT,https://www.airbnb.com/rooms/40255757?adults=1&children=0&infants=0&check_in=2021-08-17&check_out=2021-08-22&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Gamle Oslo,Entire condominium,59.90591,10.76014,105,4.79,92,4,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
"Modern studio next to the sea, close to Oslo",https://www.airbnb.com/rooms/13784065?adults=1&children=0&infants=0&check_in=2021-08-15&check_out=2021-08-22&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Bærum,Entire guest suite,59.87657,10.61302,61,4.92,252,2,0,1,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0
COZY ROOM 7 MIN FROM CENTER IN NEW APARTMENT,https://www.airbnb.com/rooms/13389298?adults=1&children=0&infants=0&check_in=2021-06-12&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Gamle Oslo,Private room,59.9161,10.7897,36,4.81,329,1,0,1,1,2,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Sentral og klassisk Frognerleilighet med balkong,https://www.airbnb.com/rooms/49392697?adults=1&children=0&infants=0&check_in=2021-08-18&check_out=2021-08-24&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Frogner,Entire condominium,59.917096,10.70896,69,,,4,0,2,2,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Spacious place and great central location.,https://www.airbnb.com/rooms/27524342?adults=1&children=0&infants=0&check_in=2021-08-31&check_out=2021-09-07&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,St. Hanshaugen,Entire apartment,59.92373,10.73665,82,4.83,31,4,0,1,3,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Urban Apartments St Hanshaugen Studio 205,https://www.airbnb.com/rooms/47021327?adults=1&children=0&infants=0&check_in=2021-08-27&check_out=2021-09-02&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,St. Hanshaugen,Entire apartment,59.91854,10.74116,45,4.25,4,1,1,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Tusse room in the Heart of Oslo! 3 min from castle,https://www.airbnb.com/rooms/39569353?adults=1&children=0&infants=0&check_in=2021-07-29&check_out=2021-08-05&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Sentrum,Private room,59.91398,10.72668,46,4.75,12,2,0,1,1,2,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Apartament in Oslo,https://www.airbnb.com/rooms/49409398?adults=1&children=0&infants=0&check_in=2021-06-10&check_out=2021-06-17&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Grorud,Entire condominium,59.96415,10.86913,35,,,1,1,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
"Central, exclusive apt near the Royal Castle*!",https://www.airbnb.com/rooms/47583995?adults=1&children=0&infants=0&check_in=2021-06-04&check_out=2021-06-11&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Majorstuen,Entire apartment,59.92194,10.72296,89,4.67,6,3,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Best spot in downtown Oslo/ Sørenga,https://www.airbnb.com/rooms/43562086?adults=1&children=0&infants=0&check_in=2021-07-03&check_out=2021-07-09&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Gamle Oslo,Entire condominium,59.90314,10.75608,142,4.85,39,6,0,2,4,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
"Lovely, modern apt with balcony at central Tøyen",https://www.airbnb.com/rooms/48523736?adults=1&children=0&infants=0&check_in=2021-08-31&check_out=2021-09-07&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Gamle Oslo,Entire apartment,59.91222,10.77518,88,5.0,3,2,0,1,2,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0
"Waterfront apt, close centrum, Central st  / Opera",https://www.airbnb.com/rooms/14520841?adults=1&children=0&infants=0&check_in=2021-06-14&check_out=2021-06-19&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Gamle Oslo,Entire apartment,59.90322,10.75608,111,4.94,270,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
"Central, nice and cozy apartment",https://www.airbnb.com/rooms/45267276?adults=1&children=0&infants=0&check_in=2021-06-11&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Frogner,Entire apartment,59.91414,10.72258,79,4.79,14,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
"HIMMEL og HAV 1 - Nesodden, liten hytte nær Oslo!",https://www.airbnb.com/rooms/43497570?adults=1&children=0&infants=0&check_in=2021-06-01&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Nesodden,Entire cabin,59.86415,10.65719,117,5.0,33,2,1,1,1,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0
Nice studio on an island  5 km  for Oslo Downtown,https://www.airbnb.com/rooms/8307605?adults=1&children=0&infants=0&check_in=2021-07-29&check_out=2021-08-05&previous_page_section_name=1000&federated_search_id=89e6773c-68bc-4d5d-b83e-9a8b36864f41,Oslo,Oslo,Entire house,59.86452,10.75822,62,4.76,158,3,1,1,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
"Cozy studio on island, short trip from city centre",https://www.airbnb.com/rooms/14751803?adults=1&children=0&infants=0&check_in=2021-08-30&check_out=2021-09-05&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Oslo,Entire guesthouse,59.86449,10.75777,63,4.82,210,3,1,1,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Sentral 4 roms leilighet!,https://www.airbnb.com/rooms/49434696?adults=1&children=0&infants=0&check_in=2021-07-08&check_out=2021-07-13&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Grünerløkka,Entire apartment,59.92889,10.78687,82,,,5,0,3,4,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Frogner Apartment,https://www.airbnb.com/rooms/45836954?adults=1&children=0&infants=0&check_in=2021-08-21&check_out=2021-08-28&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Frogner,Entire apartment,59.91503,10.72278,76,4.67,6,2,0,1,0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Charming apartment in popular central area,https://www.airbnb.com/rooms/15726452?adults=1&children=0&infants=0&check_in=2021-06-04&check_out=2021-06-11&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Gamle Oslo,Entire apartment,59.91175,10.77409,73,4.92,26,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Oslo loft with terrace - Opera&Oslo S steps away,https://www.airbnb.com/rooms/42188878?adults=1&children=0&infants=0&check_in=2021-06-11&check_out=2021-06-16&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Sentrum,Entire condominium,59.9091,10.7453,105,5.0,11,4,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
"Cozy, little apartment located 20 min from Oslo",https://www.airbnb.com/rooms/37934946?adults=1&children=0&infants=0&check_in=2021-08-12&check_out=2021-08-19&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Stabekk,Entire apartment,59.90959,10.59708,50,4.81,37,4,0,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Urban Apartments St Hanshaugen Studio A101,https://www.airbnb.com/rooms/47777372?adults=1&children=0&infants=0&check_in=2021-07-09&check_out=2021-07-14&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,St. Hanshaugen,Entire apartment,59.9193,10.74127,45,,,1,1,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Central Studio w/Walking Distance to ""Everything""",https://www.airbnb.com/rooms/20942649?adults=1&children=0&infants=0&check_in=2021-07-19&check_out=2021-07-25&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Frogner,Entire apartment,59.91393,10.72131,72,4.72,78,2,0,1,1,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Fresh og koselig studio APT i vakre omgivelser,https://www.airbnb.com/rooms/42054699?adults=1&children=0&infants=0&check_in=2021-07-06&check_out=2021-07-13&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Sagene,Entire apartment,59.94491,10.75818,63,4.70,10,2,0,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Penthouse with Oslo's best view?,https://www.airbnb.com/rooms/43663776?adults=1&children=0&infants=0&check_in=2021-07-11&check_out=2021-07-18&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Grünerløkka,Entire apartment,59.93003,10.77435,102,5.0,6,4,0,2,2,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0
"Oslo, Aker Brygge, 3 rooms",https://www.airbnb.com/rooms/23958069?adults=1&children=0&infants=0&check_in=2021-08-08&check_out=2021-08-15&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Sentrum,Entire apartment,59.9087,10.723,109,4.93,70,3,0,2,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Guest house with fantastic views,https://www.airbnb.com/rooms/43408369?adults=1&children=0&infants=0&check_in=2021-06-01&check_out=2021-06-07&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Nesodden,Entire guesthouse,59.82184,10.62684,91,5.0,19,4,0,1,2,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0
"Exclusive, spacious Tjuvholmen apt w/ balcony!*",https://www.airbnb.com/rooms/49463209?adults=1&children=0&infants=0&check_in=2021-06-17&check_out=2021-06-24&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Sentrum,Entire apartment,59.906793,10.721301,123,,,3,0,1,1,,,1.0,1.0,1.0,1.0,0.0,0.0
Høystandard leilighet i Fagerborg/Majorstua leies,https://www.airbnb.com/rooms/49258760?adults=1&children=0&infants=0&check_in=2021-06-12&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,St. Hanshaugen,Entire condominium,59.93199,10.7289,109,,,4,0,2,2,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Beautiful 3 bedroom penthouse,https://www.airbnb.com/rooms/94158?adults=1&children=0&infants=0&check_in=2021-06-10&check_out=2021-06-17&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Gamle Oslo,Entire apartment,59.90703,10.78589,78,4.56,135,5,0,3,4,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
"Spacious, exclusive apartment by Royal Castle*!",https://www.airbnb.com/rooms/45376813?adults=1&children=0&infants=0&check_in=2021-07-19&check_out=2021-07-24&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Sentrum,Entire apartment,59.91555,10.72536,110,5.0,7,4,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Urbant og lekkert med sjøutsikt i nye Bjørvika!,https://www.airbnb.com/rooms/48420127?adults=1&children=0&infants=0&check_in=2021-07-28&check_out=2021-08-03&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Gamle Oslo,Entire condominium,59.90601,10.75909,234,,,4,0,2,2,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0
"Classy, modern, bright aptm at the heart of Oslo",https://www.airbnb.com/rooms/40424686?adults=1&children=0&infants=0&check_in=2021-08-26&check_out=2021-09-02&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Majorstuen,Entire apartment,59.92318,10.72385,109,5.0,8,4,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
"50 m2 apartment just outside Oslo, perfect for two",https://www.airbnb.com/rooms/16857331?adults=1&children=0&infants=0&check_in=2021-07-15&check_out=2021-07-20&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Ullern,Entire apartment,59.92222,10.62266,61,4.85,87,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Cosy seaside and contemporary citylife in one,https://www.airbnb.com/rooms/31921836?adults=1&children=0&infants=0&check_in=2021-07-28&check_out=2021-08-03&previous_page_section_name=1000&federated_search_id=7885a8e9-0543-4c7b-a81b-238a9fa01f9b,Oslo,Nesodden,Entire apartment,59.84776,10.67114,80,5.0,6,3,0,2,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Cozy apartment in Grünerløkka/Torshov,https://www.airbnb.com/rooms/48658270?adults=1&children=0&infants=0&check_in=2021-08-22&check_out=2021-08-28&previous_page_section_name=1000&federated_search_id=d29e8789-f6f1-4276-a13a-c6ac1b97ddaf,Oslo,Sagene,Entire condominium,59.93095,10.7598,92,,,4,0,1,2,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Urban Apartments St Hanshaugen Studio A101,https://www.airbnb.com/rooms/47777372?adults=1&children=0&infants=0&check_in=2021-07-09&check_out=2021-07-14&previous_page_section_name=1000&federated_search_id=d29e8789-f6f1-4276-a13a-c6ac1b97ddaf,Oslo,St. Hanshaugen,Entire apartment,59.9193,10.74127,45,,,1,1,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hyggelig familieleilighet sentralt i Oslo,https://www.airbnb.com/rooms/21289706?adults=1&children=0&infants=0&check_in=2021-08-17&check_out=2021-08-22&previous_page_section_name=1000&federated_search_id=d29e8789-f6f1-4276-a13a-c6ac1b97ddaf,Oslo,St. Hanshaugen,Entire apartment,59.92407,10.74745,87,4.85,62,4,0,2,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
"Cozy, little apartment located 20 min from Oslo",https://www.airbnb.com/rooms/37934946?adults=1&children=0&infants=0&check_in=2021-08-12&check_out=2021-08-19&previous_page_section_name=1000&federated_search_id=d29e8789-f6f1-4276-a13a-c6ac1b97ddaf,Oslo,Stabekk,Entire apartment,59.90959,10.59708,50,4.81,37,4,0,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Cosy 2BR Loft Apt with Great City View,https://www.airbnb.com/rooms/32382838?adults=1&children=0&infants=0&check_in=2021-08-03&check_out=2021-08-09&previous_page_section_name=1000&federated_search_id=d29e8789-f6f1-4276-a13a-c6ac1b97ddaf,Oslo,Nordstrand,Entire apartment,59.90082,10.76601,124,4.89,44,4,0,2,3,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Cosy room centrally located on Nesoddtangen,https://www.airbnb.com/rooms/23825236?adults=1&children=0&infants=0&check_in=2021-08-28&check_out=2021-09-04&previous_page_section_name=1000&federated_search_id=d29e8789-f6f1-4276-a13a-c6ac1b97ddaf,Oslo,Nesodden,Entire guest suite,59.86251,10.66104,30,4.70,81,2,0,1,1,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Apartament in Oslo,https://www.airbnb.com/rooms/49409398?adults=1&children=0&infants=0&check_in=2021-06-10&check_out=2021-06-17&previous_page_section_name=1000&federated_search_id=d29e8789-f6f1-4276-a13a-c6ac1b97ddaf,Oslo,Grorud,Entire condominium,59.96415,10.86913,35,,,1,1,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
COZY studio apartment located on Kiellands Plass,https://www.airbnb.com/rooms/19798881?adults=1&children=0&infants=0&check_in=2021-07-26&check_out=2021-08-01&previous_page_section_name=1000&federated_search_id=d29e8789-f6f1-4276-a13a-c6ac1b97ddaf,Oslo,Grünerløkka,Entire apartment,59.92776,10.7512,109,4.73,73,3,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Urban Apartments Grünerløkka Loft,https://www.airbnb.com/rooms/33221514?adults=1&children=0&infants=0&check_in=2021-06-16&check_out=2021-06-21&previous_page_section_name=1000&federated_search_id=d29e8789-f6f1-4276-a13a-c6ac1b97ddaf,Oslo,Grünerløkka,Entire loft,59.92292,10.76065,133,4.64,22,4,0,2,4,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0
LARGE 3BR Modern Seaside Apt Near Central Station,https://www.airbnb.com/rooms/36024114?adults=1&children=0&infants=0&check_in=2021-07-06&check_out=2021-07-12&previous_page_section_name=1000&federated_search_id=d29e8789-f6f1-4276-a13a-c6ac1b97ddaf,Oslo,Gamle Oslo,Entire apartment,59.90167,10.75709,167,4.87,69,7,0,3,4,2,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Nice studio on an island  5 km  for Oslo Downtown,https://www.airbnb.com/rooms/8307605?adults=1&children=0&infants=0&check_in=2021-07-29&check_out=2021-08-05&previous_page_section_name=1000&federated_search_id=d29e8789-f6f1-4276-a13a-c6ac1b97ddaf,Oslo,Oslo,Entire house,59.86452,10.75822,62,4.76,158,3,1,1,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
